1,2,3,4,5,6,7,8,9,10
0,5336005,-199,34713,-22,7892984,9.99999E+15,5568,-100001,-9
1,5335997,-1995,34712982,-1.7E+16,7893006,9.99999E+15,5.568E+15,-99984,-88
2,5335996,-2011,3.4713E+16,6.00E+11,7892992,999999,5568003,-1.00002E+16,-95
3,5335997,-2002,34712984,-1.2E+16,7892979,9999988,5567995,-9.9999E+15,-88
4,5.33601E+15,-2009,34712997,-1,7893005,10000007,5568009,-99995,-63
5,5336005,-2.003E+16,34713006,3.00E+11,7892987,1E+16,5.56799E+16,-9.9996E+15,-8.3E+15
6,5.336E+16,-2001,34712986,4.00E-05,7892979,1E+16,5567986,-1.00008E+16,-9.2E+15
7,5336006,-2.006E+16,34712996,-2.00E-05,7.89298E+15,1E+16,5.568E+15,-100005,-82
8,5336002,-2012,3.4713E+16,-5.00E-05,7892993,1E+16,5.56798E+16,-99987,-9.2E+15
9,533599,-2009,34713,5.00E-05,7893001,999999,5568003,-99998,-7.7E+15
10,5.336E+15,-1987,34712981,-3.00E+11,7893,10000014,5.56801E+15,-9.9999E+15,-98
11,5.336E+15,-1.981E+16,3.4713E+16,-16,7892992,9999999,5568017,-99997,-9
12,533601,-2.006E+16,34712977,2.00E-05,7893004,9999987,5.56798E+16,-9.9993E+15,-85
13,5335991,-2,3.4713E+16,21,7892996,9999993,5.568E+16,-9.9993E+15,-85
14,5335994,-2.004E+16,3.4713E+16,-5.00E-05,7893002,9.99999E+15,5.568E+16,-9.9996E+15,-81
15,5335999,-1.981E+16,34713003,-3.00E+11,7893,9999984,5568006,-100013,-75
16,5.33601E+16,-1993,34712986,4.00E-05,7893003,10000001,5.56801E+16,-9.9996E+15,-8.9E+15
17,5124009,-2008,34712985,11,7892999,10000004,5.56799E+16,-1.00012E+16,-8.9E+15
18,5123993,-2.007E+16,34712992,-16,7.89299E+15,9999996,5567994,-100013,-67
19,5123976,-2.013E+16,34713009,1.3E+16,7892994,9.99999E+15,5.56799E+16,-99989,-81
20,5124002,-2005,34712989,1.7E+16,7893007,1E+16,5.56801E+16,-99987,-79
21,5.12401E+16,-2005,34712989,-0.0,7893,10000014,5568003,-9.9994E+15,-82
22,5.124E+16,-199,3.4713E+16,6.00E+11,7893015,10000001,5568,-100005,-7.6E+15
23,5123999,-1984,34713005,-4.00E-05,7892993,100.0,5.568E+15,-9.9999E+15,-9
24,5.12399E+16,-1.981E+16,34712981,-6.00E+11,7893005,1000001,5567995,-99982,-67
25,5124001,-2,34712984,-6.00E+11,7892987,10000005,5567989,-100003,-91
26,5316016,-1994,34712996,-3.00E+11,7892984,9999996,5568003,-100006,-73
27,5.316E+16,-1993,3.4713E+16,2.00E-05,7893002,9999999,5.56799E+16,-100006,-9
28,5316004,-2005,34712994,-4.00E-05,7892994,10000021,5.568E+16,-99987,-78
29,5.31602E+16,-2.004E+16,34712971,-8.00E-05,789301,10000015,5567991,-9.9996E+15,-8.3E+15
30,5315975,-2.004E+16,3471298,5.00E-05,7892993,1E+16,5567994,-99984,-67
31,531599,-201,34713003,1,7892996,999998,5.568E+15,-9.9996E+15,-84
32,5316,-1.997E+16,34712989,-2.00E-05,7.89303E+15,10000007,5.568E+16,-100006,-81
33,5.316E+16,-1994,34712979,7.00E-05,7893007,9999982,5.56799E+16,-99989,-79
34,5315995,-2.007E+16,34712984,2.00E-05,789299,10000001,5568022,-100009,-6.9E+15
35,5.31601E+16,-2022,34713004,-5.00E-05,7892981,9.99999E+15,5.568E+16,-9999,-86
36,5315996,-1989,34713002,-9.00E-05,7893,9999985,5.568E+16,-9999,-9
37,5315988,-1.997E+16,3.4713E+16,-2.6E+16,7892995,9.99999E+15,5.568E+16,-99992,-66
38,5.316E+16,-201,34712993,1.3E+16,7892973,10000018,5567983,-1.00012E+16,-7.6E+15
39,5.31599E+16,-1995,34713004,-1,7893,9999979,5.568E+16,-9.9999E+15,-9
40,5315995,-2008,34712966,1,789301,10000009,5567997,-99997,-73
41,5.316E+16,-1993,34712981,-6.00E+11,789301,10000013,5.568E+15,-100005,-81
42,5.31601E+16,-2021,34712997,1.00E-05,7892994,10000009,5.56802E+16,-99985,-7.6E+15
43,5.31601E+16,-1996,34712993,1.9E+16,7893002,9999995,5.56799E+16,-9.9991E+15,-85
44,5315996,-2.003E+16,34713009,-4.00E-05,7893,9999993,5.56799E+16,-9.9986E+15,-7.6E+15
45,5315987,-2.006E+16,3.4713E+16,-6.00E+11,7892992,1E+16,5.56799E+16,-100004,-88
46,5315999,-1977,34712982,0.0,7893006,9999985,5.56798E+15,-100009,-6.8E+15
47,5316,-2.003E+16,3471298,1.00E-05,7893009,9999986,556801,-100016,-8.7E+15
48,5.316E+16,-2019,34712993,14,7.89299E+15,999999,5.56797E+16,-99995,-8.3E+15
49,5.31599E+16,-2015,34712993,-3.00E+11,7892995,9999996,5568016,-99997,-78
50,5315993,-1998,34712985,-3.00E+11,7892989,9999986,5.568E+15,-1.0,-9.2E+15
51,531599,-1994,3.4713E+16,4.00E-05,7893003,10000004,5567986,-100011,-91
52,5.31601E+16,-2008,34712993,3.00E+11,7893003,9.99999E+15,5568009,-9.9993E+15,-91
53,5.31601E+16,-2001,34712989,-11,7893005,10000016,5.568E+15,-100015,-8.3E+15
54,5315996,-1992,34712986,-1.2E+16,7892984,999999,5567995,-100009,-82
55,5.31601E+16,-1986,34712994,-1.2E+16,7892992,10000007,5.568E+15,-9.9996E+15,-88
56,5.52801E+15,-2011,3.4713E+16,7.00E-05,7892994,10000004,5568017,-100003,-8.9E+15
57,5527998,-1.997E+16,34712992,1.00E-05,7.884E+15,10000012,5567983,-9.9996E+15,-98
