1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,5336005,-199,34713,-22,7892984,9.99999E+15,5568,-100001,-9,8.07599E+15,3216973,44244001,2.892E+16,9674984,2520006,101805,7.808E+15,312246,34124982
1,5335997,-1995,34712982,-1.7E+16,7893006,9.99999E+15,5.568E+15,-99984,-88,8075995,3.21701E+16,44243976,2.89201E+16,9674982,2.51999E+16,101805011,7.808E+15,312243,3.4125E+16
2,5335996,-2011,3.4713E+16,6.00E+11,7892992,999999,5568003,-1.00002E+16,-95,8.076E+15,3.217E+16,4424399,2892008,9674999,2.52E+16,1.01805E+16,78912001,311637,3.4125E+16
3,5335997,-2002,34712984,-1.2E+16,7892979,9999988,5567995,-9.9999E+15,-88,8076006,3.217E+16,44243977,2892002,9675001,2520008,101805,78911988,311653,3587499
4,5.33601E+15,-2009,34712997,-1,7893005,10000007,5568009,-99995,-63,8.076E+15,3.217E+16,4424399,2.89199E+16,9.67501E+15,2519989,1.01805E+16,78911995,311645,3.5875E+16
5,5336005,-2.003E+16,34713006,3.00E+11,7892987,1E+16,5.56799E+16,-9.9996E+15,-8.3E+15,8075997,3217002,44243997,2.892E+16,9675009,2519999,101804989,7.8912E+15,311627,35874985
6,5.336E+16,-2001,34712986,4.00E-05,7892979,1E+16,5567986,-1.00008E+16,-9.2E+15,8075997,3.217E+16,4424397,2892016,9.675E+15,251998,1.01805E+16,78911994,3.11644E+16,35874993
7,5336006,-2.006E+16,34712996,-2.00E-05,7.89298E+15,1E+16,5.568E+15,-100005,-82,8076,3217006,44243977,2891992,9674988,2519999,1.01805E+16,7.8912E+15,311643,35875006
8,5336002,-2012,3.4713E+16,-5.00E-05,7892993,1E+16,5.56798E+16,-99987,-9.2E+15,8076008,3.217E+16,44243985,2892005,9.67499E+15,2519978,1.01805E+16,78911992,311645,3.5875E+16
9,533599,-2009,34713,5.00E-05,7893001,999999,5568003,-99998,-7.7E+15,8076011,3216989,4.4244E+16,2.892E+16,9.67499E+15,2519983,1.01805E+16,7891199,311636,35874989
10,5.336E+15,-1987,34712981,-3.00E+11,7893,10000014,5.56801E+15,-9.9999E+15,-98,8076002,3217009,4.4244E+16,2891998,9.67499E+15,2520001,1.01808E+16,79759966,311627,35874995
11,5.336E+15,-1.981E+16,3.4713E+16,-16,7892992,9999999,5568017,-99997,-9,8075989,321699,4.4244E+16,2891998,9674999,2520007,101807985,79759977,31164,35875
12,533601,-2.006E+16,34712977,2.00E-05,7893004,9999987,5.56798E+16,-9.9993E+15,-85,8075997,3217009,44243972,289201,9674995,2520008,1.01808E+16,79759975,311643,3.5875E+16
13,5335991,-2,3.4713E+16,21,7892996,9999993,5.568E+16,-9.9993E+15,-85,8076011,3216993,4.4244E+16,2892006,9.67499E+15,2529992,1.01808E+16,79759955,311638,35874981
14,5335994,-2.004E+16,3.4713E+16,-5.00E-05,7893002,9.99999E+15,5.568E+16,-9.9996E+15,-81,8076008,3216992,4.4244E+16,289202,9674999,2529991,1.01808E+16,79759976,3.11644E+16,3.5875E+16
15,5335999,-1.981E+16,34713003,-3.00E+11,7893,9999984,5568006,-100013,-75,8.076E+15,3.21697E+16,4.4244E+16,2.892E+16,967499,2530001,1.01808E+16,7975999,311634,35874995
16,5.33601E+16,-1993,34712986,4.00E-05,7893003,10000001,5.56801E+16,-9.9996E+15,-8.9E+15,8076005,3216993,44243971,2892002,9674988,2529986,101808006,79759972,311637,36610007
17,5124009,-2008,34712985,11,7892999,10000004,5.56799E+16,-1.00012E+16,-8.9E+15,8075994,3216997,4.4244E+16,2.89198E+16,9675,2529994,1.01808E+16,79759966,311617,36609987
18,5123993,-2.007E+16,34712992,-16,7.89299E+15,9999996,5567994,-100013,-67,8.07599E+15,3.21697E+16,44243979,289199,9675013,2.52999E+16,1.01808E+16,7.888E+15,311625,3.661E+16
19,5123976,-2.013E+16,34713009,1.3E+16,7892994,9.99999E+15,5.56799E+16,-99989,-81,8.031E+15,3229002,44243976,2891984,9675005,25.3,1.01808E+16,78879985,311651,3849999
20,5124002,-2005,34712989,1.7E+16,7893007,1E+16,5.56801E+16,-99987,-79,8030999,3228998,44243983,2.892E+16,9674993,2529995,1.01808E+16,7.888E+15,311658,3.85E+16
21,5.12401E+16,-2005,34712989,-0.0,7893,10000014,5568003,-9.9994E+15,-82,8030999,3228993,4.4244E+16,289199,9.675E+15,2530016,101808007,78879988,311646,38499989
22,5.124E+16,-199,3.4713E+16,6.00E+11,7893015,10000001,5568,-100005,-7.6E+15,8.031E+15,3229005,44243971,2.892E+16,9.67499E+15,2530015,1.01808E+16,78879998,311647,3849998
23,5123999,-1984,34713005,-4.00E-05,7892993,100.0,5.568E+15,-9.9999E+15,-9,8031002,3229006,44243982,2891984,9675021,2529999,1.01808E+16,78879989,311646,38499978
24,5.12399E+16,-1.981E+16,34712981,-6.00E+11,7893005,1000001,5567995,-99982,-67,8030995,3229002,44243975,2891985,967001,2530003,1.01808E+16,7.888E+15,311633,38499981
25,5124001,-2,34712984,-6.00E+11,7892987,10000005,5567989,-100003,-91,8031004,3228995,4.4244E+16,289201,9669986,25.3,1.01808E+16,78880013,311634,38499981
26,5316016,-1994,34712996,-3.00E+11,7892984,9999996,5568003,-100006,-73,803099,3228989,4.4244E+16,2891987,9669991,2.53E+16,1.01808E+16,7887998,311631,3.85E+16
27,5.316E+16,-1993,3.4713E+16,2.00E-05,7893002,9999999,5.56799E+16,-100006,-9,8031014,3229012,4.4244E+16,2.892E+16,9670004,2530001,101808009,7.888E+15,3.11656E+16,3.85E+16
28,5316004,-2005,34712994,-4.00E-05,7892994,10000021,5.568E+16,-99987,-78,8031006,3228987,44243979,2891992,9669969,2529992,101807985,78879986,311646,38499971
29,5.31602E+16,-2.004E+16,34712971,-8.00E-05,789301,10000015,5567991,-9.9996E+15,-8.3E+15,803101,3229006,44243977,2891992,9.66999E+15,2.53001E+16,101808013,7.888E+15,31163,38499965
30,5315975,-2.004E+16,3471298,5.00E-05,7892993,1E+16,5567994,-99984,-67,8030989,3229015,4.4244E+16,2.89199E+16,9.66998E+15,252999,1.01808E+16,7887999,3.11629E+16,3.85E+16
31,531599,-201,34713003,1,7892996,999998,5.568E+15,-9.9996E+15,-84,8031007,3228999,44243997,2891988,9670025,2530002,1.01808E+16,78879998,311632,38499978
32,5316,-1.997E+16,34712989,-2.00E-05,7.89303E+15,10000007,5.568E+16,-100006,-81,8.031E+15,3229,4.4244E+16,2.892E+16,9.66999E+15,2530007,101808006,7.888E+15,311642,3.85E+16
33,5.316E+16,-1994,34712979,7.00E-05,7893007,9999982,5.56799E+16,-99989,-79,8030988,3228978,4.4244E+16,2891972,9.67E+15,2529994,1.01808E+16,7.888E+15,311637,36994999
34,5315995,-2.007E+16,34712984,2.00E-05,789299,10000001,5568022,-100009,-6.9E+15,8.031E+15,3228998,44243978,2.892E+16,9669995,2529994,1.01808E+16,78880007,31165,3.6995E+16
35,5.31601E+16,-2022,34713004,-5.00E-05,7892981,9.99999E+15,5.568E+16,-9999,-86,8031004,3228975,4.4154E+16,289201,9670009,2529999,1.01808E+16,78879984,311639,36995009
36,5315996,-1989,34713002,-9.00E-05,7893,9999985,5.568E+16,-9999,-9,8031008,3229,44153988,2.892E+16,9669989,252999,10180801,78879981,311646,36994993
